Date,tbl_liquidity_index,tbl_liquidity_30d_change,S&P 500,Bitcoin
2025-03-03,54.0122042,-1.05399,5849.72,86065.67
2025-03-02,54.0014834,-0.67391,5954.5,94248.35
2025-03-01,54.0014834,-0.92449,5954.5,86031.91
2025-02-28,54.0875113,-0.88773,5954.5,84373.01
2025-02-27,55.1426301,0.360435,5861.57,84704.22
2025-02-26,55.1405698,0.551725,5956.06,84347.02
2025-02-25,55.2097803,-0.38849,5955.25,88736.17
2025-02-24,56.1391067,0.540832,5983.25,91418.17
2025-02-23,55.6428168,0.047889,6013.13,96273.92
2025-02-22,55.6428168,0.385275,6013.13,96577.76
2025-02-21,55.707832,0.597316,6013.13,96125.54
2025-02-20,56.4041931,2.225214,6117.52,98333.94
2025-02-19,56.5443267,2.421249,6144.15,96635.61
2025-02-18,56.5078233,2.391667,6129.58,95539.54
2025-02-17,56.6151944,2.499038,6114.63,95773.38
2025-02-16,56.5756909,2.420814,6114.63,96175.03
2025-02-15,56.5756909,2.039884,6114.63,97580.35
2025-02-14,56.5166055,2.138512,6114.63,97508.97
2025-02-13,56.4864242,3.700218,6115.07,96623.87
2025-02-12,56.116619,3.648515,6051.97,97885.86
2025-02-11,56.0719336,2.617531,6068.5,95747.43
2025-02-10,55.7901678,2.335765,6066.44,97437.56
2025-02-09,55.1048228,1.630373,6025.99,96500.09
2025-02-08,55.1048228,1.798459,6025.99,96482.45
2025-02-07,55.0893757,1.895661,6025.99,96529.08
2025-02-06,55.022573,2.100266,6083.57,96593.3
2025-02-05,54.949387,1.197642,6061.48,96615.44
2025-02-04,55.504093,1.322799,6037.88,97871.82
2025-02-03,54.6071193,0.425825,5994.57,101405.4
2025-02-02,55.0661957,0.93301,6040.53,97688.98
2025-02-01,55.0661957,1.4812,6040.53,100655.9
2025-01-31,54.6753894,1.262068,6040.53,102405
2025-01-30,54.9259708,1.992122,6071.17,104735.3
2025-01-29,54.9752418,1.926808,6039.31,103703.2
2025-01-28,54.782195,1.148017,6067.7,101332.5
2025-01-27,54.5888445,0.954667,6012.28,102087.7
2025-01-26,55.5982751,2.020608,6101.24,102682.5
2025-01-25,55.5982751,2.145473,6101.24,104714.6
2025-01-24,55.5949279,2.213895,6101.24,104819.5
2025-01-23,55.2575417,1.83162,6118.71,103960.2
2025-01-22,55.1105157,1.491774,6086.37,103653.1
2025-01-21,54.178979,-0.11242,6049.24,106146.3
2025-01-20,54.1230777,-0.16832,5996.66,102016.7
2025-01-19,54.1161561,-0.18228,5996.66,101089.6
2025-01-18,54.1161561,-0.26105,5996.66,104408.1
2025-01-17,54.1548774,-0.78912,5996.66,104462
2025-01-16,54.5358072,-0.37294,5937.34,99756.91
2025-01-15,54.3780935,-0.45593,5949.91,100504.5
2025-01-14,52.7862061,-2.71348,5842.91,96534.04
